Author,Year,case1,case0,case-totol,control1,control0,control-total,subgroup
Sipak-Szmigie,2009,46,54,100,64,52,116,HLAG*010101
Nardi,2012,30,52,82,81,85,166,HLAG*010101
Kuroshli ,2015,84,116,200,51,49,100,HLAG*010101
Sipak-Szmigie,2009,30,70,100,28,88,116,HLAG*010102
Nardi,2012,17,65,82,40,126,166,HLAG*010102
Kuroshli ,2015,29,171,200,17,83,100,HLAG*010102
Sipak-Szmigie,2009,7,93,100,8,108,116,HLAG*010103
Nardi,2012,2,80,82,12,154,166,HLAG*010103
Kuroshli ,2015,5,195,200,0,100,100,HLAG*010103
Sipak-Szmigie,2009,0,100,100,3,113,116,HLAG*010106
Nardi,2012,1,81,82,0,166,166,HLAG*010106
Kuroshli ,2015,13,187,200,0,100,100,HLAG*010106
Sipak-Szmigie,2009,5,95,100,2,114,116,HLAG*010108
Nardi,2012,6,76,82,12,154,166,HLAG*010108
Kuroshli ,2015,0,200,200,2,98,100,HLAG*010108
Sipak-Szmigie,2009,2,98,100,4,112,116,HLAG*010401
Nardi,2012,12,70,82,10,156,166,HLAG*010401
Kuroshli ,2015,2,198,200,1,99,100,HLAG*010401
Nardi,2012,0,82,82,0,166,166,HLAG*010403
Kuroshli ,2015,12,188,200,19,81,100,HLAG*010403
Nardi,2012,1,81,82,0,166,166,HLAG*010404
Kuroshli ,2015,4,196,200,3,97,100,HLAG*010404
Sipak-Szmigie,2009,6,94,100,5,111,116,HLAG*0106
Nardi,2012,2,80,82,5,161,166,HLAG*0106
Kuroshli ,2015,21,179,200,1,99,100,HLAG*0106
Sipak-Szmigie,2009,3,97,100,2,114,116,HLAG*0105N
Nardi,2012,2,80,82,1,165,166,HLAG*0105N
Kuroshli ,2015,7,193,200,0,100,100,HLAG*0105N
